		Year of publication																																		
Original language	Target Language	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	
Abaza	Abkhazian								1																											
Abaza	English																									1										
Abaza	Russian		1		1	1	1		1		1						1														1					
Abkhazian	Azerbaijani								1																											
Abkhazian	Bulgarian											1																								
Abkhazian	English									1																1										
Abkhazian	Estonian		1			1																														
Abkhazian	Finnish				1																															
Abkhazian	Georgian		1	2	3	1	2	7	6	4	8	2	1		1																					
Abkhazian	German				1																															
Abkhazian	Hindi			1																																
Abkhazian	Kabardian								1				1																							
Abkhazian	Kazakh				1																															
Abkhazian	Kirghiz				1																															
Abkhazian	Latvian										1																									
Abkhazian	Polish		1																																	
Abkhazian	Russian		7	7	6	6	12	12	10	10	11	7	6	5	4			2													1					
Abkhazian	Spanish											1																								
Abkhazian	Swedish						1																													
Abkhazian	Tajik												1																							
Abkhazian	Turkish																							2												
Abkhazian	Turkmen											1																								
Abkhazian	Ukrainian		3				1	1						1																						
Achi', Rabinal	English																										2				1					
Achi', Rabinal	French																		1																	
Acoli	French						1																													
Acoli	Hungarian									1																										
Acoli	Japanese																							1												
Adyghe; Adygei	Arabic																									1										
Adyghe; Adygei	Estonian		1			1																														
Adyghe; Adygei	Kabardian		1																																	
Adyghe; Adygei	Russian		5	7	7	6	2	5	5	3	4	3	1	3	5	2	5	1	3									4	5	3	3					
African languages, other	Albanian					1																														
African languages, other	Arabic									2																										
African languages, other	Danish			1																																
African languages, other	English		1		1	1	1		2								1																			
African languages, other	French			1		1											2		1						1	1		1								
African languages, other	German		1	2	5	1	4		1	2	1	1						1																		
African languages, other	Hungarian									1																										
African languages, other	Indonesian		1																																	
African languages, other	Serbo-Croatian (to 1992)		2																																	
African languages, other	Spanish		1																						1											
African languages, other	Swedish		1				1																													
Afrikaans	Afrikaans																											1				1				
Afrikaans	Arabic																							1												
Afrikaans	Bengali																	1						1												
Afrikaans	Bulgarian									1									1					1												
Afrikaans	Danish							1	1				1	1	1					1				1		1										
Afrikaans	Dutch								3	4	1	3	2	1	3	4	1	9	7	6	5	10		3	2	14	10	6	5	9						
Afrikaans	English			4	2	5	3	5	3	5	2		3	2	3	7	4	7	3	4	1	2	2	4		2		4	5	1	20	38	1			
Afrikaans	French		1				1			1	1		1		1	1								1	1	2		2	1	1		1				
Afrikaans	German			2	3	2	3		7	4	1	2	2			1	2	1	2	2	5	2	1	1	1				1	4	1		2			
Afrikaans	Hebrew										1																									
Afrikaans	Herero																1																			
Afrikaans	Italian																	1			1															
Afrikaans	Kwanyama; Kuanyama																1																			
Afrikaans	Lithuanian									1																										
Afrikaans	Malayalam													1																						
Afrikaans	Moldavian																										1									
Afrikaans	Nama (Namibia)																1																			
Afrikaans	Ndonga																1																			
Afrikaans	Norwegian			1		1	1	1					2				1		1									1								
Afrikaans	Norwegian, Bokmål																															2				
Afrikaans	Polish												1																							
Afrikaans	Portuguese																															1				
Afrikaans	Romanian												1																							
Afrikaans	Russian		1		1	1																														
Afrikaans	Slovenian											1																								
Afrikaans	Spanish																					1				1					1					
Afrikaans	Swedish		2	1			4	2	1	2	3						1																			
Afrikaans	Turkish								1																											
Aguaruna	Spanish		1																																	
Ahom	English								1																											
Ahtena	English																							1												
Ainu	English		1																																	
Ajië	French																											1								
Akan	English														1																					
Akan	French						1																													
Akan-Ashante	English		2											1				1																		
Akan-Ashante	German																	1																		
Akan-Fante	English													1																						
Akkadian	Albanian																															2				
Akkadian	Arabic																1																			
Akkadian	Catalan																											1								
Akkadian	Czech																		1		1						1					1				
Akkadian	Danish																				2		2													
Akkadian	Dutch																								3				1							
Akkadian	English	1				1	1	3	1				2		1	5	2		1		2	1	3	1	2		1	2	3	1	1	1				
Akkadian	Estonian																										1									
Akkadian	Farsi, Western; Persian																						2					3								
Akkadian	Finnish			1																							1									
Akkadian	French						1									1	1		1		3	2	1	2	3	2		2			1					
Akkadian	Georgian							1				1																								
Akkadian	German			2	1				1		1		2			2			1			1	1		2				1	1	5	1	2			
Akkadian	Italian																											1								
Akkadian	Japanese																									1										
Akkadian	Macedonian																															1				
Akkadian	Norwegian																											1								
Akkadian	Norwegian, Bokmål																															1				
Akkadian	Polish									1								1	1	1				2												
Akkadian	Romanian																											1								
Akkadian	Russian			1							1																			1	1					
Akkadian	Serbian																					2					1	1	1				2			
Akkadian	Spanish				2	1	1			2	1		1			1	1						2					1	2							
Akkadian	Swedish																								1		1		1							
Akkadian	Turkish												1																							
Albanian	Albanian																										1				2					
Albanian	Arabic			1	2	1	1											1																		
Albanian	Basque																	1				1														
